Unnamed: 0,State Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,Total/Rural/Urban,Number of villages Inhabited,Number of villages unhabited,Number of towns,Number of households,Population,"Area
 (In sq. km)",Population per sq. km.,lattitude,longitude,elevation,temp (min),temp (max),temp (mean),terrorist attacks,maoist attacks,border,LWE areas,elevation_index,border_index,terrorism_index,maoist_index,temp_index,population_sq_km_index,elevation_modified,population_sq_km_modified,temp_modified,border_modified,terrorism_modified,maoist_modified,Risk,Hardship,risk_hardship_matrix_index,risk_value,hardship_value,normalized_risk_hardship_matrix_index
0,1,0,0.0,STATE,JAMMU & KASHMIR,Total,6337,216,122,2119718,12541302,222236.0,124.0,33.66,75.163,5338.0,14.0,95.0,57.04,0,0,0,0,0,0,0,0,0,0,0.17063035417465797,0.002190464413785794,0.6268131868131868,0.0,0.0,0.0,0.08488894099374923,0.37523621890372316,2,1,2,-0.4940177144487849
1,1,1,0.0,DISTRICT,Kupwara,Total,353,9,10,113929,870354,2379.0,366.0,34.5266,74.2567,5338.0,14.0,95.0,57.04,2,0,1,0,0,1,0,0,0,0,0.17063035417465797,0.006465403027787101,0.6268131868131868,0.5,0.6666666666666666,0.0,0.6271978880550296,0.37324907251071404,4,2,2,2.482158813085605
2,1,1,1.0,SUB-DISTRICT,Kupwara,Total,118,4,7,63022,540914,301.94,1791.0,35.0,74.0,5299.0,14.0,95.0,57.04,2,0,1,0,0,1,0,0,0,0,0.16938371052295104,0.03163807875072868,0.6268131868131868,0.5,0.6666666666666666,0.0,0.6266184029069286,0.36096841542030716,4,2,2,2.482158813085605
3,1,1,2.0,SUB-DISTRICT,Handwara,Total,196,3,1,39485,269311,291.47,924.0,34.0,74.0,5190.0,14.0,95.0,57.04,2,0,1,0,0,1,0,0,0,0,0.1658995013425393,0.016322492889823174,0.6268131868131868,0.5,0.6666666666666666,0.0,0.6249988162109541,0.36646806807449345,4,2,2,2.482158813085605
4,1,1,3.0,SUB-DISTRICT,Karnah,Total,39,2,2,11422,60129,69.89,860.0,34.0,73.0,5039.0,14.0,95.0,57.04,2,0,1,0,0,1,0,0,0,0,0.16107275284490474,0.015191930611740182,0.6268131868131868,0.5,0.6666666666666666,0.0,0.6227551685862555,0.36474994676860706,4,2,2,2.482158813085605
5,1,2,0.0,DISTRICT,Badgam,Total,462,12,9,103363,753745,1361.0,554.0,34.0,74.0,10000.0,14.0,95.0,57.04,3,0,1,0,2,1,1,0,0,0,0.6393044367727913,0.009786429719655884,0.6268131868131868,0.5,1.0,0.0,1.0,0.5895620374480929,6,3,2,5.458335340619995
6,1,2,4.0,SUB-DISTRICT,"Khag, Jammu and Kashmir",Total,49,0,0,8799,67596,61.12,1106.0,34.0,74.0,10000.0,14.0,95.0,57.04,3,0,1,0,2,1,1,0,0,0,0.6393044367727913,0.019537529368121677,0.6268131868131868,0.5,1.0,0.0,1.0,0.5850293729483366,6,3,2,5.458335340619995
7,1,2,5.0,SUB-DISTRICT,"Beerwah, Jammu and Kashmir",Total,102,2,2,20914,163333,134.07,1218.0,34.0,75.0,1296.0,14.0,95.0,57.04,3,0,1,0,0,1,1,0,0,0,0.04142692750287687,0.02151601335476691,0.6268131868131868,0.5,1.0,0.0,0.7220848664081815,0.3061945682985966,3,3,1,0.9940705493184101
8,1,2,6.0,SUB-DISTRICT,"Khan Sahib, Jammu and Kashmir",Total,96,3,1,16432,123312,125.91,979.0,34.0,75.0,6665.0,14.0,95.0,57.04,3,0,1,0,0,1,1,0,0,0,0.21304820355453266,0.017294069847550744,0.6268131868131868,0.5,1.0,0.0,0.8018606551300845,0.38793286936731436,6,3,2,5.458335340619995
9,1,2,7.0,SUB-DISTRICT,Budgam,Total,95,2,2,19774,133855,146.16,916.0,34.0,75.0,5281.0,14.0,95.0,57.04,3,0,1,0,0,1,1,0,0,0,0.16880833652985552,0.0161811726050628,0.6268131868131868,0.5,1.0,0.0,0.7812963616692697,0.36788589087658063,6,3,2,5.458335340619995
